Generations,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Best Fitness Score
Gen 180,45877.722190714754,41969.25486355706,42844.06500828598,44901.67094904829,44318.56419393527,41969.25486355706
Gen 181,45877.722190714754,41969.25486355706,42844.06500828598,44583.60107029161,44318.56419393527,41969.25486355706
Gen 182,45877.722190714754,41969.25486355706,42844.06500828598,44583.60107029161,44318.56419393527,41969.25486355706
Gen 183,45877.722190714754,41969.25486355706,42844.06500828598,44583.60107029161,44318.56419393527,41969.25486355706
Gen 184,45877.722190714754,41969.25486355706,42715.85780253831,44583.60107029161,43976.3456603021,41969.25486355706
Gen 185,45877.722190714754,41969.25486355706,42715.85780253831,44583.60107029161,43976.3456603021,41969.25486355706
Gen 186,45877.722190714754,41379.026666773796,42715.85780253831,44583.60107029161,43976.3456603021,41379.026666773796
Gen 187,45877.722190714754,41379.026666773796,42715.85780253831,43951.33229668754,43976.3456603021,41379.026666773796
Gen 188,45524.308230685594,41379.026666773796,42715.85780253831,43938.639209999084,43976.3456603021,41379.026666773796
Gen 189,45524.308230685594,41379.026666773796,42676.793458582964,43938.639209999084,43976.3456603021,41379.026666773796
Gen 190,45524.308230685594,41379.026666773796,42676.793458582964,43938.639209999084,43976.3456603021,41379.026666773796
Gen 191,45524.308230685594,41379.026666773796,41533.98404103311,43938.639209999084,43976.3456603021,41379.026666773796
Gen 192,45524.308230685594,41379.026666773796,41533.98404103311,43938.639209999084,43976.3456603021,41379.026666773796
Gen 193,45524.308230685594,41379.026666773796,41533.98404103311,43938.639209999084,43976.3456603021,41379.026666773796
Gen 194,45123.593631347365,41379.026666773796,41533.98404103311,43938.639209999084,43976.3456603021,41379.026666773796
Gen 195,44475.94087771476,41379.026666773796,41533.98404103311,43938.639209999084,43976.3456603021,41379.026666773796
Gen 196,44475.94087771476,41379.026666773796,41533.98404103311,43938.639209999084,43976.3456603021,41379.026666773796
Gen 197,44475.94087771476,41379.026666773796,41533.98404103311,43938.639209999084,43919.292888247925,41379.026666773796
Gen 198,44426.18701426753,41106.01445406228,41533.98404103311,43801.453744486374,43900.338216670425,41106.01445406228
Gen 199,44426.18701426753,41106.01445406228,41533.98404103311,43801.453744486374,43900.338216670425,41106.01445406228
Gen 200,44426.18701426753,41106.01445406228,41533.98404103311,43522.718263646195,43900.338216670425,41106.01445406228
Gen 201,44426.18701426753,41106.01445406228,41533.98404103311,43357.043963642085,43900.338216670425,41106.01445406228
Gen 202,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43900.338216670425,41106.01445406228
Gen 203,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43900.338216670425,41106.01445406228
Gen 204,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43900.338216670425,41106.01445406228
Gen 205,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43900.338216670425,41106.01445406228
Gen 206,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43900.338216670425,41106.01445406228
Gen 207,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43900.338216670425,41106.01445406228
Gen 208,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43453.194073199506,41106.01445406228
Gen 209,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43453.194073199506,41106.01445406228
Gen 210,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,43431.578677678044,41106.01445406228
Gen 211,44426.18701426753,41106.01445406228,41533.98404103311,43052.48819359009,42397.48962548572,41106.01445406228
Gen 212,44426.18701426753,40708.73945962114,41533.98404103311,43052.48819359009,42397.48962548572,40708.73945962114
Gen 213,44426.18701426753,40708.73945962114,41533.98404103311,43052.48819359009,42397.48962548572,40708.73945962114
Gen 214,44426.18701426753,40708.73945962114,41533.98404103311,43052.48819359009,42397.48962548572,40708.73945962114
Gen 215,44426.18701426753,40708.73945962114,41533.98404103311,43052.48819359009,42397.48962548572,40708.73945962114
Gen 216,44426.18701426753,40708.73945962114,41533.98404103311,43052.48819359009,42397.48962548572,40708.73945962114
Gen 217,43625.84531178541,40708.73945962114,41533.98404103311,43052.48819359009,42397.48962548572,40708.73945962114
Gen 218,43625.84531178541,40708.73945962114,41533.98404103311,42920.2556430822,42397.48962548572,40708.73945962114
Gen 219,43529.46685621751,40708.73945962114,41533.98404103311,42900.293621685385,42397.48962548572,40708.73945962114
Gen 220,43529.46685621751,40708.73945962114,41533.98404103311,41839.4270256351,42397.48962548572,40708.73945962114
Gen 221,43529.46685621751,40708.73945962114,41533.98404103311,41839.4270256351,42397.48962548572,40708.73945962114
Gen 222,43529.46685621751,40660.11372430565,41533.98404103311,41839.4270256351,42397.48962548572,40660.11372430565
Gen 223,43529.46685621751,40562.874341829985,41533.98404103311,41839.4270256351,42397.48962548572,40562.874341829985
Gen 224,43529.46685621751,40562.874341829985,41533.98404103311,41839.4270256351,42397.48962548572,40562.874341829985
Gen 225,43529.46685621751,40562.874341829985,41533.98404103311,41839.4270256351,42397.48962548572,40562.874341829985
Gen 226,43529.46685621751,40562.874341829985,41533.98404103311,41839.4270256351,42107.04394772064,40562.874341829985
Gen 227,43529.46685621751,40562.874341829985,41533.98404103311,41839.4270256351,42107.04394772064,40562.874341829985
Gen 228,43529.46685621751,40387.945510614445,41533.98404103311,41839.4270256351,42107.04394772064,40387.945510614445
Gen 229,43529.46685621751,40387.945510614445,41348.071594145564,41839.4270256351,42107.04394772064,40387.945510614445
Gen 230,43529.46685621751,40387.945510614445,41348.071594145564,41839.4270256351,42107.04394772064,40387.945510614445
Gen 231,43529.46685621751,39899.85455810948,41348.071594145564,41839.4270256351,41899.22516937724,39899.85455810948
Gen 232,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41899.22516937724,39879.454084253324
Gen 233,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41783.927292863016,39879.454084253324
Gen 234,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41783.927292863016,39879.454084253324
Gen 235,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41783.927292863016,39879.454084253324
Gen 236,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41783.927292863016,39879.454084253324
Gen 237,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41783.927292863016,39879.454084253324
Gen 238,43529.46685621751,39879.454084253324,41348.071594145564,41839.4270256351,41783.927292863016,39879.454084253324
Gen 239,43529.46685621751,39879.454084253324,41173.80352992351,41839.4270256351,41783.927292863016,39879.454084253324
Gen 240,43529.46685621751,39578.35625197695,41173.80352992351,41839.4270256351,41783.927292863016,39578.35625197695
Gen 241,43494.14404258951,39578.35625197695,41173.80352992351,41839.4270256351,41783.927292863016,39578.35625197695
Gen 242,43476.14905667841,39578.35625197695,41173.80352992351,41839.4270256351,41666.41221978397,39578.35625197695
Gen 243,43476.14905667841,39578.35625197695,41173.80352992351,41839.4270256351,41666.41221978397,39578.35625197695
Gen 244,43476.14905667841,39578.35625197695,41096.666175510916,41839.4270256351,41666.41221978397,39578.35625197695
Gen 245,43403.157713532135,39578.35625197695,41096.666175510916,41839.23973315618,41666.41221978397,39578.35625197695
Gen 246,42942.698657860776,39578.35625197695,41096.666175510916,41490.8570508531,41666.41221978397,39578.35625197695
Gen 247,42942.698657860776,39578.35625197695,40986.79155596207,41490.8570508531,41666.41221978397,39578.35625197695
Gen 248,42942.698657860776,39578.35625197695,40986.79155596207,41490.8570508531,41666.41221978397,39578.35625197695
Gen 249,42942.698657860776,39578.35625197695,40986.79155596207,41490.8570508531,41666.41221978397,39578.35625197695
Gen 250,42854.47939596419,39458.46954157365,40986.79155596207,41490.8570508531,41666.41221978397,39458.46954157365
Gen 251,42568.63931107139,39458.46954157365,40986.79155596207,41490.8570508531,41666.41221978397,39458.46954157365
Gen 252,42568.63931107139,39458.46954157365,40904.885139946244,41490.8570508531,41226.44794514224,39458.46954157365
Gen 253,42568.63931107139,39458.46954157365,40904.885139946244,41490.8570508531,41226.44794514224,39458.46954157365
Gen 254,42076.78677752883,39458.46954157365,40835.80953720914,41490.8570508531,40878.63198381208,39458.46954157365
